,번호,정답,난이도,배점,정답률,선지1,선지2,선지3,선지4,선지5,시험과목,시험일,시험구분
48,19,16,중하,3,83%,17% (주관식),,,,,미적분,2025.05.08,학력평가
49,20,110,중상,4,56%,44% (주관식),,,,,미적분,2025.05.08,학력평가
50,21,200,최상,4,28%,72% (주관식),,,,,미적분,2025.05.08,학력평가
51,22,71,최상,4,13%,87% (주관식),,,,,미적분,2025.05.08,학력평가
52,23,2,하,2,95%,1%,95%,1%,3%,0%,미적분,2025.05.08,학력평가
53,24,3,하,3,96%,1%,1%,96%,2%,1%,미적분,2025.05.08,학력평가
54,25,1,중하,3,89%,89%,5%,3%,2%,1%,미적분,2025.05.08,학력평가
55,26,5,중하,3,81%,2%,2%,10%,5%,81%,미적분,2025.05.08,학력평가
56,27,4,중,3,79%,3%,7%,7%,79%,4%,미적분,2025.05.08,학력평가
57,28,3,상,4,33%,9%,24%,33%,22%,12%,미적분,2025.05.08,학력평가
58,29,45,최상,4,10%,90% (주관식),,,,,미적분,2025.05.08,학력평가
59,30,15,최상,4,15%,85% (주관식),,,,,미적분,2025.05.08,학력평가
60,1,5,하,2,93%,2%,1%,2%,2%,93%,기하,2025.05.08,학력평가
61,2,1,하,2,93%,93%,2%,2%,2%,1%,기하,2025.05.08,학력평가
62,3,3,하,3,92%,2%,2%,92%,3%,1%,기하,2025.05.08,학력평가
63,4,1,하,3,93%,93%,2%,2%,2%,1%,기하,2025.05.08,학력평가
64,5,4,하,3,93%,2%,1%,3%,93%,1%,기하,2025.05.08,학력평가
65,6,5,중하,3,84%,7%,4%,3%,3%,84%,기하,2025.05.08,학력평가
66,7,2,중하,3,87%,3%,87%,6%,3%,1%,기하,2025.05.08,학력평가
67,8,1,중하,3,89%,89%,3%,4%,3%,1%,기하,2025.05.08,학력평가
68,9,4,중하,4,83%,3%,6%,6%,83%,3%,기하,2025.05.08,학력평가
69,10,3,중,4,74%,3%,10%,74%,7%,5%,기하,2025.05.08,학력평가
70,11,1,중하,4,87%,87%,4%,3%,3%,3%,기하,2025.05.08,학력평가
71,12,3,중,4,63%,4%,12%,63%,12%,10%,기하,2025.05.08,학력평가
72,13,2,중상,4,57%,6%,57%,15%,13%,8%,기하,2025.05.08,학력평가
73,14,4,중,4,60%,5%,13%,13%,60%,9%,기하,2025.05.08,학력평가
74,15,5,상,4,30%,9%,23%,20%,18%,30%,기하,2025.05.08,학력평가
75,16,10,하,3,90%,10% (주관식),,,,,기하,2025.05.08,학력평가
76,17,2,중하,3,88%,12% (주관식),,,,,기하,2025.05.08,학력평가
77,18,23,중하,3,89%,11% (주관식),,,,,기하,2025.05.08,학력평가
78,19,16,중,3,73%,27% (주관식),,,,,기하,2025.05.08,학력평가
79,20,110,상,4,44%,56% (주관식),,,,,기하,2025.05.08,학력평가
80,21,200,최상,4,20%,80% (주관식),,,,,기하,2025.05.08,학력평가
81,22,71,최상,4,12%,88% (주관식),,,,,기하,2025.05.08,학력평가
82,23,1,중하,2,86%,86%,3%,3%,4%,5%,기하,2025.05.08,학력평가
83,24,3,중하,3,84%,3%,7%,84%,5%,1%,기하,2025.05.08,학력평가
84,25,2,중하,3,80%,4%,80%,5%,9%,2%,기하,2025.05.08,학력평가
85,26,5,중하,3,86%,2%,5%,3%,4%,86%,기하,2025.05.08,학력평가
86,27,4,중하,3,83%,3%,6%,4%,83%,5%,기하,2025.05.08,학력평가
87,28,5,상,4,37%,10%,19%,19%,16%,37%,기하,2025.05.08,학력평가
88,29,20,상,4,45%,55% (주관식),,,,,기하,2025.05.08,학력평가
89,30,243,최상,4,16%,84% (주관식),,,,,기하,2025.05.08,학력평가
90,1,2,하,2,91%,3%,91%,2%,3%,1%,확률과통계,2025.03.26,학력평가
91,2,4,중하,2,86%,3%,2%,7%,86%,2%,확률과통계,2025.03.26,학력평가
92,3,3,중하,3,88%,3%,3%,88%,5%,2%,확률과통계,2025.03.26,학력평가
93,4,2,중하,3,88%,2%,88%,4%,4%,2%,확률과통계,2025.03.26,학력평가
94,5,5,중하,3,88%,2%,2%,4%,4%,88%,확률과통계,2025.03.26,학력평가
95,6,1,중,3,66%,66%,6%,5%,9%,15%,확률과통계,2025.03.26,학력평가
96,7,5,중하,3,87%,2%,2%,4%,4%,87%,확률과통계,2025.03.26,학력평가
97,8,3,중,3,79%,4%,5%,79%,9%,3%,확률과통계,2025.03.26,학력평가
98,9,3,중상,4,57%,12%,8%,57%,18%,5%,확률과통계,2025.03.26,학력평가
99,10,5,중상,4,55%,6%,7%,19%,14%,55%,확률과통계,2025.03.26,학력평가
100,11,1,중,4,74%,74%,5%,7%,9%,5%,확률과통계,2025.03.26,학력평가
101,12,4,중,4,64%,6%,9%,14%,64%,6%,확률과통계,2025.03.26,학력평가
102,13,3,상,4,49%,13%,9%,49%,16%,13%,확률과통계,2025.03.26,학력평가
103,14,4,상,4,39%,12%,21%,18%,39%,10%,확률과통계,2025.03.26,학력평가
104,15,2,최상,4,29%,12%,29%,19%,28%,12%,확률과통계,2025.03.26,학력평가
105,16,6,중,3,78%,22% (주관식),,,,,확률과통계,2025.03.26,학력평가
106,17,3,중,3,72%,28% (주관식),,,,,확률과통계,2025.03.26,학력평가
107,18,12,중,3,65%,35% (주관식),,,,,확률과통계,2025.03.26,학력평가
108,19,32,중상,3,59%,41% (주관식),,,,,확률과통계,2025.03.26,학력평가
109,20,71,최상,4,26%,74% (주관식),,,,,확률과통계,2025.03.26,학력평가
110,21,381,최상,4,7%,93% (주관식),,,,,확률과통계,2025.03.26,학력평가
111,22,154,최상,4,4%,96% (주관식),,,,,확률과통계,2025.03.26,학력평가
112,23,1,중하,2,85%,85%,2%,8%,3%,2%,확률과통계,2025.03.26,학력평가
113,24,5,중하,3,80%,4%,5%,6%,6%,80%,확률과통계,2025.03.26,학력평가
114,25,2,중하,3,82%,3%,82%,7%,6%,2%,확률과통계,2025.03.26,학력평가
115,26,3,중상,3,58%,5%,21%,58%,10%,6%,확률과통계,2025.03.26,학력평가
116,27,4,중,3,62%,8%,7%,16%,62%,8%,확률과통계,2025.03.26,학력평가
117,28,4,중,4,68%,7%,7%,13%,68%,5%,확률과통계,2025.03.26,학력평가
118,29,363,최상,4,8%,92% (주관식),,,,,확률과통계,2025.03.26,학력평가
119,30,330,최상,4,16%,84% (주관식),,,,,확률과통계,2025.03.26,학력평가
120,1,2,하,2,96%,2%,96%,1%,1%,0%,미적분,2025.03.26,학력평가
121,2,4,하,2,94%,1%,1%,3%,94%,1%,미적분,2025.03.26,학력평가
122,3,3,하,3,96%,1%,1%,96%,1%,1%,미적분,2025.03.26,학력평가
123,4,2,하,3,96%,1%,96%,1%,2%,1%,미적분,2025.03.26,학력평가
124,5,5,하,3,95%,1%,1%,1%,1%,95%,미적분,2025.03.26,학력평가
125,6,1,중하,3,84%,84%,2%,1%,2%,11%,미적분,2025.03.26,학력평가
126,7,5,하,3,95%,1%,1%,1%,2%,95%,미적분,2025.03.26,학력평가
127,8,3,하,3,93%,1%,2%,93%,3%,1%,미적분,2025.03.26,학력평가
128,9,3,중하,4,80%,8%,3%,80%,7%,2%,미적분,2025.03.26,학력평가
129,10,5,중하,4,80%,2%,4%,8%,6%,80%,미적분,2025.03.26,학력평가
130,11,1,하,4,92%,92%,2%,2%,2%,2%,미적분,2025.03.26,학력평가
131,12,4,중하,4,86%,2%,4%,5%,86%,3%,미적분,2025.03.26,학력평가
132,13,3,중,4,71%,14%,3%,71%,4%,8%,미적분,2025.03.26,학력평가
133,14,4,중상,4,53%,10%,19%,10%,53%,8%,미적분,2025.03.26,학력평가
134,15,2,중상,4,55%,9%,55%,9%,19%,8%,미적분,2025.03.26,학력평가
135,16,6,하,3,91%,9% (주관식),,,,,미적분,2025.03.26,학력평가
136,17,3,하,3,90%,10% (주관식),,,,,미적분,2025.03.26,학력평가
137,18,12,중하,3,82%,18% (주관식),,,,,미적분,2025.03.26,학력평가
138,19,32,중하,3,86%,14% (주관식),,,,,미적분,2025.03.26,학력평가
139,20,71,중상,4,56%,44% (주관식),,,,,미적분,2025.03.26,학력평가
140,21,381,최상,4,20%,80% (주관식),,,,,미적분,2025.03.26,학력평가
141,22,154,최상,4,22%,78% (주관식),,,,,미적분,2025.03.26,학력평가
142,23,1,하,2,97%,97%,1%,1%,1%,1%,미적분,2025.03.26,학력평가
143,24,3,하,3,95%,1%,2%,95%,1%,1%,미적분,2025.03.26,학력평가
144,25,4,중,3,76%,4%,8%,8%,76%,5%,미적분,2025.03.26,학력평가
145,26,5,중,3,69%,10%,7%,8%,6%,69%,미적분,2025.03.26,학력평가
146,27,2,중상,3,58%,6%,58%,8%,12%,16%,미적분,2025.03.26,학력평가
147,28,4,상,4,42%,10%,17%,20%,42%,10%,미적분,2025.03.26,학력평가
148,29,13,최상,4,22%,78% (주관식),,,,,미적분,2025.03.26,학력평가
149,30,25,최상,4,13%,87% (주관식),,,,,미적분,2025.03.26,학력평가
150,1,2,하,2,91%,4%,91%,2%,2%,1%,기하,2025.03.26,학력평가
151,2,4,중하,2,87%,3%,3%,6%,87%,2%,기하,2025.03.26,학력평가
152,3,3,중하,3,89%,3%,3%,89%,3%,2%,기하,2025.03.26,학력평가
153,4,2,하,3,90%,3%,90%,3%,3%,2%,기하,2025.03.26,학력평가
154,5,5,중하,3,89%,3%,3%,3%,3%,89%,기하,2025.03.26,학력평가
155,6,1,중,3,77%,77%,4%,3%,4%,11%,기하,2025.03.26,학력평가
156,7,5,중하,3,88%,2%,2%,4%,3%,88%,기하,2025.03.26,학력평가
157,8,3,중하,3,87%,4%,3%,87%,5%,2%,기하,2025.03.26,학력평가
158,9,3,중,4,72%,9%,5%,72%,11%,4%,기하,2025.03.26,학력평가
159,10,5,중,4,69%,5%,7%,10%,10%,69%,기하,2025.03.26,학력평가
160,11,1,중하,4,83%,83%,4%,4%,5%,4%,기하,2025.03.26,학력평가
161,12,4,중,4,76%,5%,6%,9%,76%,5%,기하,2025.03.26,학력평가
162,13,3,중,4,64%,14%,6%,64%,8%,8%,기하,2025.03.26,학력평가
163,14,4,상,4,45%,13%,20%,12%,45%,9%,기하,2025.03.26,학력평가
164,15,2,상,4,46%,12%,46%,13%,20%,9%,기하,2025.03.26,학력평가
165,16,6,중하,3,82%,18% (주관식),,,,,기하,2025.03.26,학력평가
166,17,3,중하,3,81%,19% (주관식),,,,,기하,2025.03.26,학력평가
167,18,12,중,3,76%,24% (주관식),,,,,기하,2025.03.26,학력평가
168,19,32,중,3,73%,27% (주관식),,,,,기하,2025.03.26,학력평가
169,20,71,중상,4,50%,50% (주관식),,,,,기하,2025.03.26,학력평가
170,21,381,최상,4,16%,84% (주관식),,,,,기하,2025.03.26,학력평가
171,22,154,최상,4,14%,86% (주관식),,,,,기하,2025.03.26,학력평가
172,23,5,중하,2,84%,4%,3%,7%,3%,84%,기하,2025.03.26,학력평가
173,24,3,중하,3,88%,3%,3%,88%,3%,2%,기하,2025.03.26,학력평가
174,25,1,중,3,76%,76%,13%,5%,4%,3%,기하,2025.03.26,학력평가
175,26,4,중,3,71%,6%,10%,7%,71%,6%,기하,2025.03.26,학력평가
176,27,2,중,3,70%,6%,70%,8%,12%,4%,기하,2025.03.26,학력평가
177,28,4,중,4,65%,8%,10%,9%,65%,8%,기하,2025.03.26,학력평가
178,29,128,상,4,41%,59% (주관식),,,,,기하,2025.03.26,학력평가
179,30,60,최상,4,13%,87% (주관식),,,,,기하,2025.03.26,학력평가
180,1,5,하,2,92%,2%,1%,2%,2%,92%,확률과통계,2024.11.14,수능
181,2,4,하,2,90%,3%,3%,4%,90%,1%,확률과통계,2024.11.14,수능
182,3,5,중하,3,86%,2%,3%,6%,4%,86%,확률과통계,2024.11.14,수능
183,4,2,중하,3,89%,2%,89%,4%,3%,1%,확률과통계,2024.11.14,수능
184,5,4,중하,3,88%,2%,2%,4%,88%,4%,확률과통계,2024.11.14,수능
185,6,5,중,3,71%,12%,5%,5%,7%,71%,확률과통계,2024.11.14,수능
186,7,3,중하,3,87%,3%,4%,87%,4%,2%,확률과통계,2024.11.14,수능
187,8,1,중,3,73%,73%,9%,7%,8%,3%,확률과통계,2024.11.14,수능
188,9,4,중하,4,81%,4%,4%,7%,81%,4%,확률과통계,2024.11.14,수능
189,10,3,중,4,70%,10%,9%,70%,7%,4%,확률과통계,2024.11.14,수능
190,11,2,중,4,77%,5%,77%,8%,7%,3%,확률과통계,2024.11.14,수능
191,12,1,중,4,61%,61%,10%,14%,9%,5%,확률과통계,2024.11.14,수능
192,13,5,중상,4,51%,9%,11%,18%,12%,51%,확률과통계,2024.11.14,수능
193,14,4,상,4,32%,11%,20%,28%,32%,9%,확률과통계,2024.11.14,수능
194,15,2,상,4,32%,14%,32%,28%,18%,8%,확률과통계,2024.11.14,수능
195,16,7,중하,3,82%,18% (주관식),,,,,확률과통계,2024.11.14,수능
196,17,33,중하,3,84%,16% (주관식),,,,,확률과통계,2024.11.14,수능
197,18,96,중,3,67%,33% (주관식),,,,,확률과통계,2024.11.14,수능
198,19,41,중,3,69%,31% (주관식),,,,,확률과통계,2024.11.14,수능
199,20,36,최상,4,7%,93% (주관식),,,,,확률과통계,2024.11.14,수능
200,21,16,최상,4,8%,92% (주관식),,,,,확률과통계,2024.11.14,수능
201,22,64,최상,4,4%,96% (주관식),,,,,확률과통계,2024.11.14,수능
202,23,5,중하,2,83%,4%,3%,6%,4%,83%,확률과통계,2024.11.14,수능
203,24,3,중,3,75%,4%,6%,75%,10%,5%,확률과통계,2024.11.14,수능
204,25,1,중,3,66%,66%,10%,8%,12%,3%,확률과통계,2024.11.14,수능
205,26,3,중하,3,81%,4%,5%,81%,7%,3%,확률과통계,2024.11.14,수능
206,27,3,상,3,31%,6%,25%,31%,28%,10%,확률과통계,2024.11.14,수능
207,28,2,중상,4,58%,7%,58%,10%,18%,7%,확률과통계,2024.11.14,수능
208,29,25,상,4,39%,61% (주관식),,,,,확률과통계,2024.11.14,수능
209,30,19,상,4,32%,68% (주관식),,,,,확률과통계,2024.11.14,수능
210,1,5,하,2,97%,1%,1%,1%,1%,97%,미적분,2024.11.14,수능
211,2,4,하,2,97%,1%,1%,1%,97%,0%,미적분,2024.11.14,수능
212,3,5,하,3,96%,1%,1%,2%,1%,96%,미적분,2024.11.14,수능
213,4,2,하,3,96%,1%,96%,1%,1%,1%,미적분,2024.11.14,수능
214,5,4,하,3,94%,1%,1%,2%,94%,3%,미적분,2024.11.14,수능
215,6,5,하,3,90%,6%,1%,1%,2%,90%,미적분,2024.11.14,수능
216,7,3,하,3,96%,1%,1%,96%,1%,1%,미적분,2024.11.14,수능
217,8,1,하,3,93%,93%,3%,2%,2%,1%,미적분,2024.11.14,수능
218,9,4,하,4,94%,1%,1%,2%,94%,1%,미적분,2024.11.14,수능
219,10,3,하,4,91%,3%,3%,91%,2%,1%,미적분,2024.11.14,수능
220,11,2,하,4,92%,2%,92%,2%,3%,1%,미적분,2024.11.14,수능
221,12,1,중하,4,86%,86%,4%,5%,3%,2%,미적분,2024.11.14,수능
222,13,5,중하,4,83%,4%,4%,6%,4%,83%,미적분,2024.11.14,수능
223,14,4,중상,4,59%,6%,12%,17%,59%,6%,미적분,2024.11.14,수능
224,15,2,중상,4,59%,9%,59%,19%,8%,5%,미적분,2024.11.14,수능
225,16,7,하,3,94%,6% (주관식),,,,,미적분,2024.11.14,수능
226,17,33,하,3,94%,6% (주관식),,,,,미적분,2024.11.14,수능
227,18,96,중하,3,87%,13% (주관식),,,,,미적분,2024.11.14,수능
228,19,41,중하,3,88%,12% (주관식),,,,,미적분,2024.11.14,수능
229,20,36,상,4,33%,67% (주관식),,,,,미적분,2024.11.14,수능
230,21,16,상,4,30%,70% (주관식),,,,,미적분,2024.11.14,수능
231,22,64,최상,4,13%,87% (주관식),,,,,미적분,2024.11.14,수능
232,23,3,하,2,96%,1%,1%,96%,1%,1%,미적분,2024.11.14,수능
233,24,4,하,3,91%,2%,2%,3%,91%,2%,미적분,2024.11.14,수능
234,25,2,중하,3,89%,2%,89%,4%,3%,1%,미적분,2024.11.14,수능
235,26,1,중하,3,82%,82%,4%,4%,6%,5%,미적분,2024.11.14,수능
236,27,1,상,3,48%,48%,12%,14%,9%,17%,미적분,2024.11.14,수능
237,28,2,상,4,31%,8%,31%,19%,14%,28%,미적분,2024.11.14,수능
238,29,25,최상,4,21%,79% (주관식),,,,,미적분,2024.11.14,수능
239,30,17,최상,4,18%,82% (주관식),,,,,미적분,2024.11.14,수능
240,1,5,하,2,96%,1%,1%,1%,1%,96%,기하,2024.11.14,수능
241,2,4,하,2,95%,2%,1%,2%,95%,1%,기하,2024.11.14,수능
242,3,5,하,3,94%,1%,1%,2%,2%,94%,기하,2024.11.14,수능
243,4,2,하,3,94%,1%,94%,2%,1%,1%,기하,2024.11.14,수능
244,5,4,하,3,92%,2%,1%,2%,92%,3%,기하,2024.11.14,수능
245,6,5,중하,3,83%,10%,2%,1%,3%,83%,기하,2024.11.14,수능
246,7,3,하,3,93%,2%,2%,93%,2%,1%,기하,2024.11.14,수능
247,8,1,중하,3,88%,88%,4%,2%,4%,2%,기하,2024.11.14,수능
248,9,4,하,4,90%,2%,2%,3%,90%,3%,기하,2024.11.14,수능
249,10,3,중하,4,84%,5%,6%,84%,2%,2%,기하,2024.11.14,수능
250,11,2,중하,4,89%,3%,89%,3%,4%,2%,기하,2024.11.14,수능
251,12,1,중,4,78%,78%,7%,8%,5%,3%,기하,2024.11.14,수능
252,13,5,중,4,72%,6%,7%,10%,6%,72%,기하,2024.11.14,수능
253,14,4,중상,4,53%,9%,15%,16%,53%,7%,기하,2024.11.14,수능
254,15,2,중상,4,50%,12%,50%,22%,10%,7%,기하,2024.11.14,수능
255,16,7,하,3,91%,9% (주관식),,,,,기하,2024.11.14,수능
256,17,33,하,3,90%,10% (주관식),,,,,기하,2024.11.14,수능
257,18,96,중하,3,82%,18% (주관식),,,,,기하,2024.11.14,수능
258,19,41,중하,3,82%,18% (주관식),,,,,기하,2024.11.14,수능
259,20,36,최상,4,18%,82% (주관식),,,,,기하,2024.11.14,수능
260,21,16,최상,4,18%,82% (주관식),,,,,기하,2024.11.14,수능
261,22,64,최상,4,9%,91% (주관식),,,,,기하,2024.11.14,수능
262,23,3,하,2,93%,2%,2%,93%,1%,2%,기하,2024.11.14,수능
263,24,4,중하,3,87%,2%,4%,4%,87%,2%,기하,2024.11.14,수능
264,25,3,중하,3,83%,5%,5%,83%,4%,3%,기하,2024.11.14,수능
265,26,1,중,3,64%,64%,19%,4%,6%,6%,기하,2024.11.14,수능
266,27,1,중상,3,50%,50%,22%,8%,8%,12%,기하,2024.11.14,수능
267,28,4,상,4,35%,9%,29%,7%,35%,20%,기하,2024.11.14,수능
268,29,107,상,4,49%,51% (주관식),,,,,기하,2024.11.14,수능
269,30,316,최상,4,9%,91% (주관식),,,,,기하,2024.11.14,수능
270,1,4,하,2,91%,2%,3%,3%,91%,1%,확률과통계,2024.10.15,학력평가
271,2,5,하,2,90%,2%,2%,3%,2%,90%,확률과통계,2024.10.15,학력평가
272,3,2,중하,3,85%,2%,85%,5%,3%,5%,확률과통계,2024.10.15,학력평가
273,4,5,중하,3,84%,3%,2%,7%,4%,84%,확률과통계,2024.10.15,학력평가
274,5,4,중하,3,89%,2%,4%,4%,89%,2%,확률과통계,2024.10.15,학력평가
275,6,2,중하,3,84%,3%,84%,7%,4%,2%,확률과통계,2024.10.15,학력평가
276,7,5,중하,3,89%,2%,2%,4%,3%,89%,확률과통계,2024.10.15,학력평가
277,8,2,중상,3,57%,8%,57%,20%,11%,4%,확률과통계,2024.10.15,학력평가
278,9,1,중,4,63%,63%,6%,16%,12%,3%,확률과통계,2024.10.15,학력평가
279,10,1,중,4,62%,62%,8%,17%,9%,3%,확률과통계,2024.10.15,학력평가
280,11,3,중,4,66%,8%,12%,66%,8%,5%,확률과통계,2024.10.15,학력평가
281,12,1,중상,4,57%,57%,7%,19%,10%,7%,확률과통계,2024.10.15,학력평가
282,13,5,상,4,33%,7%,10%,30%,20%,33%,확률과통계,2024.10.15,학력평가
283,14,3,중상,4,53%,9%,12%,53%,17%,9%,확률과통계,2024.10.15,학력평가
284,15,4,중상,4,56%,7%,8%,22%,56%,7%,확률과통계,2024.10.15,학력평가
285,16,6,중하,3,86%,14% (주관식),,,,,확률과통계,2024.10.15,학력평가
286,17,58,중하,3,81%,19% (주관식),,,,,확률과통계,2024.10.15,학력평가
287,18,12,중,3,78%,22% (주관식),,,,,확률과통계,2024.10.15,학력평가
288,19,84,최상,3,17%,83% (주관식),,,,,확률과통계,2024.10.15,학력평가
289,20,54,최상,4,5%,95% (주관식),,,,,확률과통계,2024.10.15,학력평가
290,21,15,최상,4,9%,91% (주관식),,,,,확률과통계,2024.10.15,학력평가
291,22,486,최상,4,3%,97% (주관식),,,,,확률과통계,2024.10.15,학력평가
292,23,1,하,2,92%,92%,2%,2%,4%,1%,확률과통계,2024.10.15,학력평가
293,24,3,중하,3,82%,2%,6%,82%,8%,3%,확률과통계,2024.10.15,학력평가
294,25,2,중하,3,81%,5%,81%,7%,5%,2%,확률과통계,2024.10.15,학력평가
295,26,5,중,3,67%,3%,5%,12%,13%,67%,확률과통계,2024.10.15,학력평가
296,27,4,중,3,69%,4%,8%,13%,69%,6%,확률과통계,2024.10.15,학력평가
297,28,2,상,4,44%,7%,44%,18%,20%,11%,확률과통계,2024.10.15,학력평가
298,29,48,최상,4,13%,87% (주관식),,,,,확률과통계,2024.10.15,학력평가
299,30,61,최상,4,13%,87% (주관식),,,,,확률과통계,2024.10.15,학력평가
300,1,4,하,2,97%,1%,1%,1%,97%,0%,미적분,2024.10.15,학력평가
301,2,5,하,2,96%,1%,1%,1%,1%,96%,미적분,2024.10.15,학력평가
302,3,2,하,3,95%,1%,95%,2%,1%,2%,미적분,2024.10.15,학력평가
303,4,5,하,3,95%,1%,1%,2%,1%,95%,미적분,2024.10.15,학력평가
304,5,4,하,3,96%,1%,2%,1%,96%,1%,미적분,2024.10.15,학력평가
305,6,2,하,3,95%,1%,95%,2%,1%,1%,미적분,2024.10.15,학력평가
306,7,5,하,3,96%,1%,1%,1%,1%,96%,미적분,2024.10.15,학력평가
307,8,2,중하,3,83%,3%,83%,7%,5%,1%,미적분,2024.10.15,학력평가
308,9,1,중하,4,87%,87%,2%,5%,5%,1%,미적분,2024.10.15,학력평가
309,10,1,중하,4,86%,86%,3%,6%,3%,1%,미적분,2024.10.15,학력평가
310,11,3,중하,4,81%,5%,8%,81%,3%,3%,미적분,2024.10.15,학력평가
311,12,1,중하,4,83%,83%,3%,7%,4%,3%,미적분,2024.10.15,학력평가
312,13,5,중,4,60%,3%,6%,19%,12%,60%,미적분,2024.10.15,학력평가
313,14,3,중,4,73%,5%,8%,73%,7%,7%,미적분,2024.10.15,학력평가
314,15,4,중하,4,80%,3%,4%,9%,80%,4%,미적분,2024.10.15,학력평가
315,16,6,하,3,94%,6% (주관식),,,,,미적분,2024.10.15,학력평가
316,17,58,중하,3,89%,11% (주관식),,,,,미적분,2024.10.15,학력평가
317,18,12,하,3,93%,7% (주관식),,,,,미적분,2024.10.15,학력평가
318,19,84,상,3,46%,54% (주관식),,,,,미적분,2024.10.15,학력평가
319,20,54,최상,4,21%,79% (주관식),,,,,미적분,2024.10.15,학력평가
320,21,15,최상,4,29%,71% (주관식),,,,,미적분,2024.10.15,학력평가
